code,transect,region,elevation,type,plot,plot.num,plot.num.log,lat,lon,elevation.lidar,Tax.rich,Prop.spe,Tax.spe,Tax.gen,Tax.even,Tax.div,Phy.rich,Phy.even,Phy.div,Fun.rich,Fun.even,Fun.div,cff,cmin,ctot,tree.cover,cagb,agb,agb.stem,summer.air,summer.soil,winter.air,winter.soil,nectar,usable,foliar.N,foliar.C,foliar.CN,sand,silt,clay,ph,c10,n10,cn10,olsen.p,k,mg,ca,weight_oh_of_ol,pai,ba,canhei,sca,tmean.air,tmax.air,tmin.air,tmean.soil,tmax.soil,tmin.soil,BIO1,BIO5,BIO6,forcov_500,forestedge,tmeanann,pann,aridity,ndep,spei21_May2018,shrub.ric,tree.ric,total.ric,shrub.nectar,tree.nectar,total.nectar,shrub.phy,tree.phy,total.phy
BE_ME_T1_P1,BEMET1,BE,ME,T1,P1,1.5,0.405465108,50.2283808,5.2833031,236.0720062,9,0.33,3,5,0.382935129,0.905467668,3.242181385,0.159035605,0.360242376,0.358415511,0.81991304,0.007742094,6.8103378,75.47960087,82.28993867,0.01,103.15,219.4680851,156.7629179,-3.326873574,-6.12512219,0.266095927,1.834657556,0.333333333,0.057471264,17.82380952,435.1689286,24.90552278,8.4,47.9,43.7,4.828,4.741,0.381,12.44356955,4.5376,130.22,168.74,909.2,68.88,2.49,30.38271605,18,4.142857143,11.38037803,47.425,-7,9.805380717,25.425,2,11.44196429,13.23629032,-1.72016129,51.57353886,4.235302545,9.5,934,47.8974359,15.57810584,-0.531687093,0,2,11,NA,1.114285714,1.447619047,NA,0.210045972,0.305525718
BE_ME_T1_P2,BEMET1,BE,ME,T1,P2,4.5,1.504077397,50.2283878,5.2832772,248.0720062,5,0.2,1,3,0.276475236,0.983159186,1.939359668,0.313839155,0.387871934,0.042736898,0.473075446,0.004923012,6.360795,75.62955415,81.99034915,0.05,68.01,144.7021277,103.3586626,-11.54571522,-8.666911046,0.407191853,1.369193284,7.846875,0.6875,24.829375,448.1646875,18.54808402,11.7,47.1,41.2,4.671,4.734,0.383,12.36031332,6.1494,79.42,76.84,396,71.55,5.16,27.02546296,21,4.833333333,10.85975355,34.425,-6.925,9.004732928,21,2,10.91953263,13.61935484,-1.625,51.67310167,4.235266904,9.5,934,47.8974359,15.36590946,-0.531687093,1,3,9,0,0.136842105,7.983717105,NA,0.270763013,0.312594653
BE_ME_T1_P3,BEMET1,BE,ME,T1,P3,12.5,2.525728644,50.2284368,5.2832457,237.6779938,2,0.5,1,1,0.140185999,0.191444082,0.963819688,0.087421287,0.481909844,NA,NA,5.96E-05,4.07748285,80.92829053,85.00577338,0.105,132.11,281.0851064,200.775076,-11.69133268,-8.556940371,0.426446051,0.688648763,0.69047619,0.047619048,20.52761905,427.3947619,20.87427442,13.4,48.1,38.5,4.546,5.569,0.414,13.45169082,7.8854,108.32,53.88,297.8,43.22,4.48,35.91049383,21,4.314285714,10.84874551,33.925,-6.5,8.462012263,21,1,10.91033807,13.87580645,-1.551612903,52.50320924,4.253069919,9.5,934,47.8974359,14.89468952,-0.531687093,1,2,5,0,0,0.69047619,NA,0.301121534,0.327834725
BE_ME_T1_P4,BEMET1,BE,ME,T1,P4,35.5,3.569532696,50.2287404,5.283251,240.1470032,2,0.5,1,1,0.093303215,0.114665282,0.963819688,0.045868873,0.481909844,NA,NA,3.13E-05,5.106584625,72.78569944,77.89228407,0.04,86.34,183.7021277,131.2158055,-11.0423998,-8.333333333,0.53675049,1.49678876,0.402439024,0.024390244,23.09707317,433.284878,18.77007384,6.9,45,48.1,4.525,4.901,0.37,13.24594595,7.1412,118.74,74.26,279.4,60.15,6.2,22.84876543,21.5,3.736842105,10.76460853,34.925,-6,8.857396641,21.5,1.5,10.82841615,14.24677419,-1.32016129,56.09756098,4.222710489,9.5,934,47.8974359,14.07395562,-0.531687093,1,2,5,0,0,0.402439024,NA,0.301121534,0.327834725
BE_ME_T1_P5,BEMET1,BE,ME,T1,P5,99.5,4.600157644,50.2291975,5.2830458,255.1730042,1,0,0,1,NA,0,NA,NA,NA,NA,NA,0,3.1968962,84.53418669,87.73108289,0.3,62.49,132.9574468,94.96960486,-10.08453894,-7.927769986,0.455307485,1.188357434,0.1,0,21.63,423.19,19.56495608,18.4,42.9,38.7,4.681,5.659,0.427,13.2529274,8.6192,140.62,65.7,259.6,42.92,5.76,20.02314815,20.5,3.923076923,10.79643061,36.425,-5.925,9.129723215,23.175,1.65,10.8609865,14.37419355,-1.391935484,62.33183857,4.222597404,9.5,950,48.71794872,13.64178452,-0.531687093,1,1,3,0,0,0.1,NA,NA,0.308197777
BE_ME_T2_P1,BEMET2,BE,ME,T2,P1,1.5,0.405465108,50.2315191,5.2888073,245.4360046,4,0.25,1,3,0.683763639,1.272089869,1.571492134,0.345549119,0.392873033,0.021856368,0.810767501,0.000542905,5.08235,101.6713286,106.7536786,0.165,61.51,130.8723404,93.48024316,-1.714695341,-4.494516129,0.416189947,1.537349701,3.13125,0.3125,16.84875,458.960625,27.74851337,14.8,46.7,38.5,4.418,8.084,0.488,16.56557377,14.7216,111.14,47.2,156.8,45.5,1.41,12.15123457,16.5,3.862068966,12.01466437,48.5,-6.425,11.00905258,27.5,1.5,12.07130243,13.85322581,-1.39516129,53.97946085,7.956697344,9.5,934,47.8974359,15.57810584,-0.531687093,1,2,7,0,0,3.13125,NA,0.301121533,0.314284946
BE_ME_T2_P2,BEMET2,BE,ME,T2,P2,4.5,1.504077397,50.231592,5.2887906,244.4689941,3,0.33,1,2,0.899337326,1.039720771,1.179381748,0.401850302,0.393127249,0.400440982,0.833590499,0.037987639,4.14149615,78.5282646,82.66976075,0.08,77.35,164.5744681,117.5531915,-7.444591072,-4.745112414,0.424810636,0.87368902,0,0,21.82,444.47,20.54475883,16.5,40.9,42.6,4.537,5.187,0.376,13.79521277,5.8542,85.94,30.86,130.2,41.17,4.12,19.50617284,18.5,4.461538462,11.4385159,40.5,-6.425,10.55414538,27.125,1,11.49839928,14.27258065,-1.411290323,54.52793834,7.974503115,9.5,934,47.8974359,15.36590946,-0.531687093,1,2,6,0,0,0,NA,0.301121534,0.314445223
BE_ME_T2_P3,BEMET2,BE,ME,T2,P3,12.5,2.525728644,50.2315707,5.2886968,249.4109955,2,0,0,2,0.093303215,0.114665282,0.6100069,0.029030667,0.30500345,NA,NA,0.002893601,7.4832078,87.18404384,94.66725164,0.075,83.12,176.8510638,126.3221884,-9.257754969,-6.69257087,0.36340643,1.670546639,2.6,0,28.48,430.61,15.11973315,17.1,42.4,40.5,4.553,5.882,0.408,14.41666667,10.1014,121.96,54.48,171.8,65.72,4.22,19.19367284,19.5,3.956521739,11.19433321,37,-6.425,10.27631439,27.125,2,11.25470511,14.46370968,-1.444354839,55.03527903,7.906330551,9.5,934,47.8974359,14.89468952,-0.531687093,1,2,5,0,0,2.6,NA,0.301121534,0.294929526
BE_ME_T2_P4,BEMET2,BE,ME,T2,P4,35.5,3.569532696,50.2317276,5.2884327,246.0050049,2,0,0,2,1,0.693147181,0.6100069,0.30500345,0.30500345,NA,NA,0.030400894,8.286266225,91.37609111,99.66235734,0.06,94.43,200.9148936,143.5106383,-8.176156729,-7.420821114,0.499139255,1.229699666,2.6,0,24.76,413.96,16.71890145,13.5,45,41.5,4.402,6.665,0.445,14.97752809,12.6216,115.1,49.3,135.2,68.87,5.7,26.50154321,22,3.811881188,11.06773955,39.425,-5.925,9.90664557,23.925,1,11.1302275,14.72580645,-1.284677419,57.05128205,7.911746999,9.5,934,47.8974359,14.07395562,-0.531687093,1,2,5,0,0,2.6,NA,0.301121534,0.294929526
BE_ME_T2_P5,BEMET2,BE,ME,T2,P5,99.5,4.600157644,50.2321425,5.2877358,251.0789948,1,0.99,1,0,NA,0,NA,NA,NA,NA,NA,0,5.569597025,74.96423678,80.53383381,0.08,115.75,246.2765957,175.9118541,-10.40410557,-7.882258065,0.574785476,0.827334605,12.5,0.99,22.87,445.66,19.48666375,16.4,39.8,43.8,4.803,4.918,0.375,13.11466667,6.9,156.48,73.54,207.6,83.87,4.72,31.08719136,23,3.6,10.99080582,35.925,-5.925,9.768967089,22.5,1,11.05588145,14.9016129,-1.171774194,62.76527331,7.877615085,9.5,934,47.8974359,13.64178452,-0.531687093,0,2,3,NA,0,12.5,NA,0.301121534,0.315155099
BE_ME_T3_P1,BEMET3,BE,ME,T3,P1,1.5,0.405465108,50.2306984,5.2879426,240.927002,14,0.36,5,9,0.506560983,1.874902957,4.805453109,0.29446732,0.343246651,0.482371875,0.732273341,0.031628878,0.92051375,80.41606983,81.33658358,0.025,264.36,562.4680851,401.7629179,-1.982046269,NA,0.309679406,-0.018929763,1.021428571,0.25,15.17111111,445.2638889,29.66325745,1.7,38.7,59.6,4.596,5.1,0.39,13.07692308,6.6962,125.22,80.98,411.2,15.31,0.58,31.98070988,23.5,3,12.17823204,47.85,-7,10.28616785,30.5,0,12.24041005,13.60564516,-1.638709677,55.22771007,7.201057609,9.5,934,47.8974359,15.57810584,-0.531687093,0,1,15,NA,0,1.021428571,NA,NA,0.285827234
BE_ME_T3_P2,BEMET3,BE,ME,T3,P2,4.5,1.504077397,50.2306719,5.2879439,242.0809937,16,0.25,4,11,0.598840358,2.456884888,5.626284708,0.338251835,0.351642794,0.481669246,0.726501795,0.019559127,3.256275,96.73086575,99.98714075,0.23,196.89,418.9148936,299.224924,-2.878038449,-2.129677419,0.193257058,1.013368028,8.041509434,0.377358491,13.71375,446.323125,35.1489956,2,38.9,59.1,4.685,7.561,0.545,13.8733945,10.0146,150.82,166.74,1045.4,27.5,0.63,31.11496914,23.5,3,11.96736633,45.35,-7,10.78832638,29.2,1,12.0308642,13.4266129,-1.766935484,55.07060334,7.158096424,9.5,934,47.8974359,15.36590946,-0.531687093,0,1,17,NA,0,8.041509434,NA,NA,0.292042606
BE_ME_T3_P3,BEMET3,BE,ME,T3,P3,12.5,2.525728644,50.2306929,5.2878152,241.4060059,17,0.29,5,12,0.450562128,2.085383659,5.869495629,0.309271487,0.345264449,0.509987305,0.625580987,0.013014718,1.294152625,108.5366133,109.8307659,0.02,165.29,351.6808511,251.2006079,-4.582152167,-3.887096774,0.157095847,1.357540124,0.240277778,0.375,14.68392157,447.2056863,32.02163391,2.4,36.3,61.3,4.654,8.507,0.55,15.46727273,11.1896,122.94,114.88,713.8,11.15,1.26,35.27546296,23.5,3,11.69431391,43.425,-7,10.77684584,27.5,1.5,11.75840498,13.52580645,-1.781451613,55.90500642,7.201014365,9.5,934,47.8974359,14.89468952,-0.531687093,0,1,18,NA,0,0.240277778,NA,NA,0.287861215
BE_ME_T3_P4,BEMET3,BE,ME,T3,P4,35.5,3.569532696,50.230802,5.2875321,249.7969971,13,0.15,2,11,0.315317446,2.1219365,3.638351976,0.108733922,0.279873229,0.520406329,0.645184398,0.011514689,2.228949375,93.86028226,96.08923164,0.1,84.73,180.2765957,128.768997,-5.574112089,-3.57771261,0.111655146,0.985890407,0.001234568,0.333333333,18.93326087,461.0921739,25.27990068,1.8,41.9,56.3,4.72,6.784,0.44,15.41818182,10.6838,115.5,135.86,410.2,21.09,1.6,16.67052469,23.5,3,11.38800125,41.425,-7,10.83584824,26,1,11.45411706,13.86451613,-1.712903226,58.43489416,7.274327997,9.5,934,47.8974359,14.07395562,-0.531687093,0,1,14,NA,0,0.001234568,NA,NA,0.255705947
BE_ME_T3_P5,BEMET3,BE,ME,T3,P5,99.5,4.600157644,50.2309352,5.2866514,255.345993,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,6.5151411,76.98319071,83.49833181,0.04,123.65,263.0851064,187.9179331,-11.20289182,-8.054516129,0.591142937,1.299274326,NA,NA,NA,NA,NA,5,47.1,47.9,4.611,5.028,0.309,16.27184466,5.1234,75.18,66.62,143,59.03,4.79,32.0154321,22.5,4.727272727,11.0199457,34.5,-6,9.731488361,22.825,1,11.08272707,14.83870968,-1.172580645,64.9967887,7.036958979,9.5,934,47.8974359,13.64178452,-0.531687093,1,2,3,0,0,0,NA,0.301121534,0.250521952
CS_LO_T1_P1,CSLOT1,CS,LO,T1,P1,1.5,0.405465108,58.9505848,17.6092881,7.551000118,15,0.27,4,11,0.467275065,1.703229395,5.415535167,0.281661904,0.361035678,0.312397272,0.735340414,0.003579317,3.790151,80.79314388,84.58329488,0.17,139.92,297.7021277,212.6443769,-3.319444444,-4.5378198,1.058944462,-0.236953096,3.752747253,0.32967033,11.27083333,439.4525,40.42077863,17.7,36.6,45.7,5.578,6.167,0.44,14.01590909,10.1406,208.6,525.65,3004.3,35.48,2.56,74.75308642,24.5,2.36,8.64099622,37,-11,6.941086801,24.5,-4,8.687975104,15.83387097,-5.009677419,62.48704663,7.510225405,6.8,519,30.89285714,3.875180635,0.09495619,2,1,18,0.088888889,0,3.841636142,0.380662133,NA,0.310272048
CS_LO_T1_P2,CSLOT1,CS,LO,T1,P2,4.5,1.504077397,58.9505697,17.609315,10.51399994,11,0.55,6,5,0.52162639,1.897807754,4.044759007,0.336269615,0.367705364,0.295432262,0.765672706,0.003996846,4.7647314,73.82325185,78.58798325,0.185,120.92,257.2765957,183.768997,-7.805824373,-6.234408602,1.062476826,0.920014007,4.074,0.56,11.0055,430.253,40.74749839,21.2,33.7,45.1,5.695,6.175,0.471,13.1104034,10.4064,199.83,592.92,3669.8,47.08,3.54,79.09259259,24.5,2.575342466,8.292859071,31,-10.5,6.320388083,18,0,8.336801596,15.83387097,-4.965322581,62.29932677,7.510194093,6.8,519,30.89285714,3.822395058,0.09495619,2,2,15,4.903846154,0,8.977846154,0.364801088,0.380662132,0.313741154
CS_LO_T1_P3,CSLOT1,CS,LO,T1,P3,12.5,2.525728644,58.9506091,17.6093175,18.87100029,14,0.29,4,10,0.694011118,2.464507779,5.074382896,0.37027382,0.362455921,0.213974446,0.792122024,0.0049856,2.505573875,63.45206538,65.95763926,0.125,59.86,127.3617021,90.97264438,-8.929569892,-5.948881473,1.082446104,0.568447967,4.654545455,0.522727273,22.755,436.1183333,20.95706118,15.7,26.9,57.3,5.783,4.978,0.37,13.45405405,8.9952,246.67,440.43,2615.2,27.65,2.87,20.00617284,25.5,3.243986254,8.166711663,30,-10.2,7.263678906,20.5,-0.5,8.209711137,15.9266129,-4.978225806,62.85714286,7.54144593,6.8,519,30.89285714,3.705175261,0.09495619,1,4,19,0.1,30.78947368,35.54401914,NA,0.365388871,0.311016769
CS_LO_T1_P4,CSLOT1,CS,LO,T1,P4,35.5,3.569532696,58.9507218,17.6097671,14.57600021,5,0.4,2,3,0.823366033,1.481161355,2.771171159,0.425125604,0.554234232,0.197987113,0.78087229,0.003912678,1.712723725,61.15420027,62.866924,0.07,62.36,132.6808511,94.77203647,-9.408870968,-6.499749722,1.036005615,0.892767022,2.209756098,0.243902439,21.10341463,421.135122,20.7665532,4,30.1,65.9,5.988,4.654,0.318,14.63522013,9.521,291.25,637.39,2927.4,16.13,5.79,23.68595679,26.5,3,8.002924766,29.5,-10,7.187589993,20,0,8.044826112,16.05241935,-4.997580645,64.03326403,7.50762746,6.8,519,30.89285714,3.501011022,0.09495619,2,3,10,6.673684211,17.5,26.38344031,0.341941235,0.375375118,0.438110778
CS_LO_T1_P5,CSLOT1,CS,LO,T1,P5,99.5,4.600157644,58.9509928,17.6107074,17.47400093,7,0.86,6,1,0.55269692,1.572701679,3.797907954,0.385682109,0.542558279,0.162872988,0.704471738,0.001981273,1.0325889,79.99133564,81.02392454,0.105,54.94,116.893617,83.49544073,-9.563261649,-5.496465208,0.882617591,0.529376409,1.115384615,0.115384615,22.27217391,424.8991304,19.71322676,85.8,8.7,5.5,5.386,5.127,0.377,13.5994695,11.422,109.05,193.23,1231.3,10.04,5.28,18.00308642,25,3.5,7.838057955,29,-10.5,7.190791847,22,0,7.882530407,16.00483871,-4.983870968,67.28971963,7.422866737,6.8,519,30.89285714,3.393504944,0.09495619,1,3,11,0.1,104.2105263,105.4259109,NA,0.350115611,0.435875483
CS_LO_T2_P1,CSLOT2,CS,LO,T2,P1,1.5,0.405465108,58.9549132,17.1448542,39.32400131,21,0.19,4,17,0.746433068,2.502931677,7.700773418,0.302007194,0.366703496,0.436504961,0.846196861,0.006492956,13.0042875,58.88792766,71.89221516,0.005,128.91,274.2765957,195.9118541,-0.694354839,-3.461067853,0.173651941,0.293173338,5.87804878,0.317073171,10.35916667,435.8216667,43.26542419,55.7,28,16.3,5.387,3.346,0.216,15.49074074,13.1646,232.39,143.46,787.5,135.25,1.73,24.12654321,26.5,2.021505376,8.441482181,41.5,-12.4,6.262505288,24.45,-0.5,8.503990878,14.55483871,-6.24516129,64.38213915,5.209901209,6.7,547,32.75449102,4.736572168,0.055840359,1,2,24,0.1,2.511363636,8.489412416,NA,0.356208445,0.309381763
CS_LO_T2_P2,CSLOT2,CS,LO,T2,P2,4.5,1.504077397,58.9549455,17.1448709,44.65000153,25,0.24,6,19,0.477547028,2.176329461,8.843017697,0.281001205,0.353720708,0.546837232,0.698475293,0.007066964,2.545277625,59.12632367,61.6716013,0.02,125.06,266.0851064,190.0607903,-2.102240143,-4.396360153,0.142681683,0.556814303,4.080327869,0.229508197,12.016,435.19575,37.90660497,50.1,32.8,17.1,5.368,3.986,0.272,14.65441176,11.8782,218.04,154.44,809.2,23.11,2.53,32.36728395,27,2.005847953,8.265883729,41.5,-12.4,7.433585313,22.15,-0.5,8.326040479,14.64112903,-6.276612903,64.18532015,5.22434263,6.7,547,32.75449102,4.67205319,0.055840359,1,1,27,0.1,2.6,6.780327869,NA,NA,0.312203328
CS_LO_T2_P3,CSLOT2,CS,LO,T2,P3,12.5,2.525728644,58.9549955,17.1448916,42.70000076,12,0.33,4,8,0.691631376,1.87783824,5.729361521,0.311739407,0.477446793,0.457944058,0.823907461,0.007930752,2.5748437,51.76360639,54.33845009,0.03,62.24,132.4255319,94.58966565,-5.223207885,-3.31868743,0.196782801,-0.158516812,5.017241379,0.24137931,13.62833333,431.7188889,32.08457473,58.6,25.1,16.3,5.318,3.118,0.239,13.0460251,9.077,159.98,100.17,513.3,31.46,3.11,23.30864198,26.5,2.5,8.075188985,35.65,-12.4,5.822853916,25.225,-1.225,8.135713607,14.81048387,-6.215322581,64.13828689,5.253100108,6.7,547,32.75449102,4.52877728,0.055840359,1,1,14,0.1,2.6,7.717241379,NA,NA,0.403520951
CS_LO_T2_P4,CSLOT2,CS,LO,T2,P4,35.5,3.569532696,58.9551889,17.1452259,45.77299881,24,0.25,6,17,0.551654188,2.354031744,10.13324647,0.33931278,0.422218603,0.502224375,0.774751182,0.006129665,4.1236475,67.51253516,71.63618266,0,50.82,108.1276596,77.23404255,-8.331989247,-5.508898776,0.343847661,0.482199872,4.428971963,0.719626168,14.69176471,438.3226471,31.94422318,41.9,29,29.1,5.785,3.941,0.32,12.315625,7.6124,294.44,352.17,1505.8,46.76,4.32,19.28703704,28.5,2.333333333,8.05819404,30.65,-12.1,5.56964449,22,-0.5,8.116628865,15.18225806,-5.981451613,62.07253886,5.514341414,6.7,547,32.75449102,4.279230552,0.055840359,2,1,27,0.094594595,2.6,7.123566558,1,NA,0.401710402
CS_LO_T2_P5,CSLOT2,CS,LO,T2,P5,99.5,4.600157644,58.9556963,17.1456585,44.52799988,11,0.55,6,5,0.972332865,2.36938212,5.473381209,0.495468251,0.49758011,0.137133371,0.938677447,0.005767665,1.38024635,61.84656377,63.22681012,0.015,71.36,151.8297872,108.449848,-9.806810036,-6.284760845,0.438890434,0.14979092,12.34166667,0.583333333,22.905,416.39,18.18981234,27.1,49.1,23.8,5.546,3.638,0.285,12.76491228,11.969,179.08,259.95,1000.2,14.42,6.2,26.12037037,27,2.598726115,7.591997097,29.5,-11.2,5.797859252,21,-0.5,7.645217763,15.33225806,-5.663709677,58.83877657,6.03149434,6.7,547,32.75449102,4.147827568,0.055840359,2,1,14,0.097826087,2.6,15.03949276,1,NA,0.483681552
CS_LO_T3_P1,CSLOT3,CS,LO,T3,P1,1.5,0.405465108,58.9561536,17.1539,39.22600174,11,0.18,2,8,0.473330714,2.060523864,4.018697759,0.349457544,0.36533616,0.098488814,0.870206123,0.001056225,1.925946,47.4211042,49.3470502,0.045,90.32,192.1702128,137.2644377,-3.527419355,-3.330329996,-0.08390937,0.413700776,18.31860465,0.441860465,12.83058824,434.1211765,36.17833313,53,31.1,15.9,5.501,2.296,0.17,13.50588235,13.4576,158.09,184.1,803.4,20.55,2.79,18.02469136,26,1,8.902223338,35,-13.15,8.023252046,24.15,-0.5,8.981646671,16.85725806,-8.065517241,41.93046186,6.956381914,6.7,546,32.69461078,4.736572168,0.055840359,0,1,12,NA,0,18.31860465,NA,NA,0.307496581
CS_LO_T3_P2,CSLOT3,CS,LO,T3,P2,4.5,1.504077397,58.9561809,17.1538995,35.98099899,16,0.06,1,14,0.475670126,2.203860873,5.722639657,0.342396344,0.357664979,0.120846696,0.639083102,0.001300214,1.9436886,43.35036223,45.29405083,0.04,110.96,236.0851064,168.6322188,-4.722670251,-3.974005067,-0.046073018,0.399245046,10.45263158,0.49122807,12.75263158,437.8342105,35.3905344,51.9,32,16.1,5.489,2.177,0.174,12.51149425,11.9054,191.59,128.94,575.8,16.56,2.78,28.87962963,25,1.75,8.466702664,36,-12.7,7.722784116,24,-0.5,8.535395287,15.0266129,-6.491935484,42.19562955,6.988630596,6.7,546,32.69461078,4.67205319,0.055840359,0,2,18,NA,31.25,41.70263158,NA,0.364801088,0.311493275
CS_LO_T3_P3,CSLOT3,CS,LO,T3,P3,12.5,2.525728644,58.9562199,17.1536598,39.1780014,10,0.1,1,8,0.363670107,1.757273371,3.351720131,0.348280359,0.335172013,0.246861951,0.548175892,0.00227336,5.6082552,49.08097942,54.68923462,0.025,71.28,151.6595745,108.3282675,-6.47078853,-4.824425287,0.019760713,0.757097098,27.67021277,0.70212766,14.41619048,415.6866667,29.94128708,50.1,33.2,16.7,5.439,2.46,0.2,12.3,9.2166,172.78,203.8,838.4,51.36,3.59,22.07098765,23,2.055555556,8.252204824,32.65,-12.2,7.582386541,22.65,0,8.317441087,15.17177419,-6.392741935,42.80538302,6.997602239,6.7,546,32.69461078,4.52877728,0.055840359,1,2,13,0,44.64285714,72.31306991,NA,0.364801088,0.313377873
CS_LO_T3_P4,CSLOT3,CS,LO,T3,P4,35.5,3.569532696,58.9563166,17.1533823,48.26800156,16,0.44,7,8,0.508095486,1.564331265,5.684197768,0.22130211,0.355262361,0.552934817,0.781232291,0.004668115,4.1727595,48.73762008,52.91037958,0.08,42.75,90.95744681,64.96960486,-6.551164875,-4.807106662,0.161962366,0.472394371,69.8297619,0.821428571,16.23914286,418.4348571,27.03033188,62.8,24,13.2,5.453,2.53,0.182,13.9010989,6.6166,142.63,142.09,796.6,40.69,4.04,23.03703704,23,2.265957447,8.041734161,33.5,-11.9,7.51418529,22.65,-0.5,8.104522995,15.28306452,-6.185483871,43.66857738,7.049310682,6.7,546,32.69461078,4.279230552,0.055840359,2,3,21,17.5,NA,87.3297619,0.364801087,0.292782762,0.308630814
CS_LO_T3_P5,CSLOT3,CS,LO,T3,P5,99.5,4.600157644,58.9566622,17.1528422,54.6629982,1,0,0,1,NA,0,NA,NA,NA,NA,NA,0,2.447175,85.85946139,88.30663639,0.1,69.74,148.3829787,105.9878419,-5.063351254,-5.065171178,0.452030033,0.630200885,0.292307692,0.076923077,15.35,402.81,26.24169381,60.4,26.8,12.8,5.184,4.841,0.314,15.41719745,8.9522,184.2,89.34,453.9,24.35,2.98,23.47222222,22.5,2.482758621,8.160313398,37,-11.8,7.432942708,23.15,-0.5,8.219781001,15.43145161,-5.872580645,46.46936656,7.074448975,6.7,546,32.69461078,4.147827568,0.055840359,0,3,4,NA,16.89655172,17.18885942,NA,0.34357457,0.311438497
GE_LO_T1_P1,GELOT1,GE,LO,T1,P1,1.5,0.405465108,53.2416795,8.6720557,42.64300156,7,0.71,5,2,0.148271439,0.911613198,3.879725138,0.595865617,0.554246448,0.331732806,0.449382869,0.009079084,6.374557,69.61552148,75.99007848,0,71.34,151.787234,108.4194529,-4.647491039,NA,0.125145664,1.194938821,0.211111111,0.565359477,27.44708609,441.3574172,16.25927642,81.3,14.1,4.6,4.019,5.029,0.267,18.83520599,29.729,152.6,64.28,330.7,53.2,1.81,13.22916667,23.5,1.521912351,10.90259346,38,-5.575,9.862377451,22.5,0.5,10.95194281,15.41370968,-1.042741935,57.27163462,5.19061264,9.3,792,41.03626943,23.36909054,0.585494328,1,2,10,12.5,0,12.71111111,NA,0.301121533,0.450760376
GE_LO_T1_P2,GELOT1,GE,LO,T1,P2,4.5,1.504077397,53.241725,8.672073,47.33399963,6,0.83,5,1,0.190417681,1.028759869,3.593117052,0.641354907,0.598852842,0.331732806,0.394867852,0.008577425,5.446610325,70.3107145,75.75732483,0.01,175.01,372.3617021,265.9726444,-6.769086022,NA,0.120736003,NA,0.500507614,0.558375635,30.21040816,436.9760204,14.54639358,81.2,14.3,4.5,4.089,4.62,0.244,18.93442623,35.7962,101.23,72.2,266.9,56.37,5.02,34.00231481,24.5,1.85,10.62124019,34.925,-5.575,2.550088652,NA,0.5,10.67097545,15.48145161,-1.02983871,57.8978979,5.19061264,9.3,792,41.03626943,23.05076966,0.585494328,1,2,9,12.5,0,13.00050761,NA,0.301121533,0.470578455
GE_LO_T1_P3,GELOT1,GE,LO,T1,P3,12.5,2.525728644,53.2417429,8.6721226,35.98199844,6,0.83,5,1,0.214570256,1.203879668,3.576600011,0.620808879,0.596100002,0.381619023,0.482340515,0.00899063,4.40539155,92.74363409,97.14902564,0.01,101.03,214.9574468,153.5410334,-7.247491039,NA,0.197713067,1.330088988,0.914,0.44,28.05393939,442.8986869,15.95602859,80.5,15,4.5,4.041,8.937,0.453,19.72847682,49.4656,128.89,88.48,375.9,50.58,5.36,20.48533951,24.5,2.210526316,10.54847521,33.425,-5.575,8.678816339,20.725,1,10.60067288,15.70483871,-0.933870968,58.04321729,5.190595966,9.3,792,41.03626943,22.3438813,0.585494328,2,1,9,20.68181818,0,21.59581818,0.156078338,NA,0.46625121
GE_LO_T1_P4,GELOT1,GE,LO,T1,P4,35.5,3.569532696,53.2420066,8.6721908,30.8409996,7,0.71,5,2,0.235020172,0.523035007,4.025867819,0.230882523,0.575123974,0.381619023,0.740860136,0.00432693,6.7431982,76.9805587,83.7237569,0.03,187.51,398.9574468,284.9696049,-6.952688172,NA,0.017403597,1.125139043,0.274257426,0.900990099,33.76444444,460.8552525,13.65954629,79.8,17.3,3,4.031,6.641,0.264,25.15530303,32.7922,85.23,76.78,406,55.06,4.5,44.63503086,25,2,10.48895616,33.5,-5.575,9.641759624,20,1,10.54492095,15.75,-1.093548387,61.34453782,5.130327399,9.3,792,41.03626943,21.11267868,0.585494328,1,1,9,12.5,0,12.77425743,NA,NA,0.473037053
GE_LO_T1_P5,GELOT1,GE,LO,T1,P5,99.5,4.600157644,53.2425026,8.6723009,42.82099915,9,0.56,5,4,0.258767088,1.610882165,4.775242145,0.608784042,0.530582461,0.55403383,0.582662378,0.00717915,5.7493908,93.58376165,99.33315245,0.015,75.35,160.3191489,114.5136778,-7.20125448,NA,-0.111516103,1.547552836,0.053913043,0.365217391,33.50285714,456.1616071,13.70858546,83.3,14.1,2.6,4.062,8.201,0.359,22.84401114,23.8696,124.79,91.87,295.4,59.37,5.04,26.25154321,23,1.5,10.30099466,33.5,-5.575,9.744284442,20.5,1,10.35714286,15.6016129,-1.177419355,67.24759615,5.198425358,9.3,792,41.03626943,20.46436844,0.585494328,2,1,12,1.785714286,0,1.839627329,0.341941234,NA,0.434768602
