code,transect,region,elevation,type,plot,plot.num,plot.num.log,lat,lon,elevation.lidar,Tax.rich,Prop.spe,Tax.spe,Tax.gen,Tax.even,Tax.div,Phy.rich,Phy.even,Phy.div,Fun.rich,Fun.even,Fun.div,cff,cmin,ctot,tree.cover,cagb,agb,agb.stem,summer.air,summer.soil,winter.air,winter.soil,nectar,usable,foliar.N,foliar.C,foliar.CN,sand,silt,clay,ph,c10,n10,cn10,olsen.p,k,mg,ca,weight_oh_of_ol,pai,ba,canhei,sca,tmean.air,tmax.air,tmin.air,tmean.soil,tmax.soil,tmin.soil,BIO1,BIO5,BIO6,forcov_500,forestedge,tmeanann,pann,aridity,ndep,spei21_May2018,shrub.ric,tree.ric,total.ric,shrub.nectar,tree.nectar,total.nectar,shrub.phy,tree.phy,total.phy
BE_HI_T3_P1,BEHIT3,BE,HI,T3,P1,1.5,0.405465108,50.5189109,5.8927511,331.4660034,3,0.33,1,2,0.204853437,0.663284935,1.239245648,0.288729081,0.413081883,0.086270542,0.85392669,0.001522915,3.4047462,125.472074,128.8768202,0.5,174.94,372.212766,265.8662614,-9.647729988,-4.713769415,-0.1227422,0.067075189,0,0,19.04,449.375,24.36061388,33.3,46.9,19.8,4.044,11.467,0.587,19.53492334,17.8246,253.5,104.72,313.2,28.68,4.38,28.38888889,19.5,3.068181818,11.36405514,35,-5,10.82475937,22.425,1.5,11.3965214,14.3233871,-1.60483871,41.37931034,4.734474333,8.8,1120,59.57446809,17.89932689,-0.548125862,1,1,5,0,0,0,NA,NA,0.304718096
BE_HI_T3_P2,BEHIT3,BE,HI,T3,P2,4.5,1.504077397,50.5188937,5.892781,336.5159912,3,0.33,1,2,0.228485807,0.47875333,1.239245648,0.174853514,0.413081883,0.086270542,0.943327171,0.001270122,4.83298365,131.151849,135.9848327,0.45,115.5,245.7446809,175.5319149,-9.011678614,-4.958691756,-0.147511786,0.103140394,0,0,18.62089286,469.6798214,25.52892516,24.7,56.1,19.2,4.019,16.234,0.816,19.89460784,19.3354,226.18,116.36,287,39.49,4.37,24.58024691,20,3.101265823,11.34478129,36.425,-5,10.24629571,22,1.5,11.37832847,14.4,-1.652419355,41.27795527,4.679005991,8.8,1120,59.57446809,17.65551212,-0.548125862,1,1,5,0,0,0,NA,NA,0.304718096
BE_HI_T3_P3,BEHIT3,BE,HI,T3,P3,12.5,2.525728644,50.518951,5.8927373,332.8919983,3,0,0,3,0.124841648,0.660362216,1.075167527,0.308524151,0.358389176,0.035488834,0.460852372,0.000815794,3.58398425,127.0972594,130.6812437,0.3,50.39,107.212766,76.58054711,-8.237126643,-5.4260454,-0.081939589,0.896697389,0,0,18.69,468.94,25.09042269,21.7,56.8,21.5,4.053,10.59,0.567,18.67724868,17.3972,162.34,58.16,137,29.26,3.98,14.42283951,20,3.083333333,11.38654948,36.5,-4.5,11.49153853,20.5,1.225,11.42040654,14.51370968,-1.54516129,41.45408163,4.742183587,8.8,1120,59.57446809,17.11407788,-0.548125862,1,2,6,0,0,0,NA,0.123769894,0.282836553
BE_HI_T3_P4,BEHIT3,BE,HI,T3,P4,35.5,3.569532696,50.5191245,5.8926399,340.2829895,2,0,0,2,0.850542613,0.636514168,0.963819837,0.428364372,0.481909918,NA,NA,0.000655457,4.370066825,106.499497,110.8695638,0.3,112.69,239.7659574,171.2613982,-7.625029869,-3.491427718,-0.037975396,0.012341755,0,0,17.44,470.4386,26.97469037,33.3,48,18.7,4.269,9.774,0.541,18.06654344,13.2306,136.06,69.88,228.2,34.67,4.03,26.31481481,22,3.048780488,11.4994661,37.5,-4.5,10.49541961,24.925,1.5,11.53407626,14.85403226,-1.591129032,41.50222788,4.721775694,8.8,1120,59.57446809,16.17105024,-0.548125862,2,1,5,0,0,0,0.123769894,NA,0.296463423
BE_HI_T3_P5,BEHIT3,BE,HI,T3,P5,99.5,4.600157644,50.5193993,5.8921311,360.1879883,5,0.4,2,3,0.182275849,0.333741963,3.177211151,0.099420745,0.63544223,0.250609955,0.684630393,0.007449335,2.480630625,127.6932929,130.1739235,0.05,79.39,168.9148936,120.6534954,-8.425149343,-5.453225806,-0.008173765,0.102211231,0.65,0.25,25.69666667,466,18.17640462,32.2,48,19.7,3.94,8.966,0.475,18.87578947,18.7018,135.18,47.88,286.2,25.85,4.97,20.18833333,24,2.981481481,11.08083612,37,-4.5,8.936321409,19.5,1.5,11.11760807,15.12741935,-1.54516129,42.00767263,4.700990322,8.8,1120,59.57446809,15.67448334,-0.548125862,3,1,9,0.517241379,0,1.167241379,0.328334668,NA,0.484132202
BE_LO_T1_P1,BELOT1,BE,LO,T1,P1,1.5,0.405465108,50.7696403,3.7534763,107.3820038,4,0.5,2,2,0.13507947,0.220218562,1.571043794,0.038336266,0.392760949,0.010814437,0.094970283,0.000517429,4.9741158,47.4870648,52.4611806,0.05,271.16,576.9361702,412.0972644,-10.90967742,-8.351792115,0.445322845,0.519244266,2.544680851,0.031914894,32.57763441,431.6317204,13.28539843,20.6,68.1,11.3,5.427,2.522,0.212,11.89622642,39.227,264.36,151.48,1218,57.36,5.25,40.81481481,28,2.68,11.2796932,30,-3.125,10.47452969,20.5,2,11.34874466,16.68145161,0.669354839,57.8343949,1.261228499,10.1,848,42.18905473,17.40594225,-0.254140192,1,3,8,0,4.666666667,7.211347518,NA,0.375375118,0.314195736
BE_LO_T1_P2,BELOT1,BE,LO,T1,P2,4.5,1.504077397,50.7694986,3.7534383,104.1259995,4,0.5,2,2,0.30496643,1.051759126,2.670530101,0.460636932,0.667632525,0.063320044,0.71259237,0.001731796,3.5924077,47.89871458,51.49112228,0.35,215.14,457.7446809,326.9604863,-10.96818996,-8.525716846,0.486694873,0.654867843,2.197777778,0,34.30777778,436.0837778,12.93547008,11,78.3,10.7,5.53,2.188,0.198,11.05050505,36.6822,190.24,117.5,984.4,88.06,4.46,43.07561728,27,2.78597786,11.26180618,30.5,-3.125,10.43467021,20.5,2,11.3311002,16.73145161,0.718548387,56.89764781,1.278856172,10.1,848,42.18905473,17.16884809,-0.254140192,1,3,8,0,0,2.197777778,NA,0.354148599,0.505936177
BE_LO_T1_P3,BELOT1,BE,LO,T1,P3,12.5,2.525728644,50.7697925,3.7533841,112.1409988,5,0.6,3,2,0.513832491,1.267235545,3.459268463,0.528290898,0.691853693,0.027176144,0.795819823,0.002825226,4.2106851,54.77573855,58.98642365,0.115,148.94,316.893617,226.3525836,-10.64802867,-8.67311828,0.468453705,0.656857487,1.526315789,0.210526316,31.58947368,426.4494737,13.86405725,13.9,66,20,5.643,2.589,0.234,11.06410256,24.201,205.52,208.08,1224,41.81,5.33,32.56095679,27,2.454545455,11.17008624,30.925,-3,10.38501336,20.425,2.5,11.23779613,16.72983871,0.685483871,59.77229602,1.261215997,10.1,848,42.18905473,16.64233817,-0.254140192,2,3,10,0.05,0.577777778,2.154093567,0.380662133,0.354148599,0.557910476
BE_LO_T1_P4,BELOT1,BE,LO,T1,P4,35.5,3.569532696,50.7699057,3.753078,106.6050034,5,0.4,2,2,0.540062734,1.160186244,3.035140499,0.373200754,0.6070281,0.250438797,0.588882427,0.008338644,4.09735,57.90640759,62.00375759,0.22,95.94,204.1276596,145.8054711,-11.41057348,-9.465681004,0.400974628,0.997950765,1.18,0.666666667,37.87066667,434.824,11.62088269,12,76,12,4.51,3.422,0.275,12.44363636,21.4974,80.54,54.2,408.8,45.4,6.26,24.91358025,28.5,3.211111111,10.92001801,29.925,-3.5,10.253005,18.5,3,10.98590789,16.62983871,0.528225806,62.85714286,1.261200716,10.1,848,42.18905473,15.72530455,-0.254140192,1,3,9,35,20.34883721,56.52883721,NA,0.375375118,0.472412856
BE_LO_T1_P5,BELOT1,BE,LO,T1,P5,75,4.317488114,50.7701294,3.752677,102.0490036,2,0,0,1,0.060120919,0.055546075,0.610006914,0.011959747,0.305003457,NA,NA,0.001009539,13.14703233,70.37451385,83.52154618,0.015,143.8,305.9574468,218.5410334,-11.4125448,-9.897222222,0.626592378,1.338461386,0,0.99,46.31,416.93,9.003023105,19.2,67.7,13.1,4.243,4.568,0.32,14.275,27.9232,131.86,48.08,368.2,234.11,6.74,33.3742284,31,3.367346939,11.05365665,29.425,-3.125,10.24347429,18,3.5,11.11994263,16.64919355,0.787096774,67.13286713,1.266269826,10.1,848,42.18905473,15.24242523,-0.254140192,1,3,6,0,0,0,NA,0.242004319,0.272425027
